Month	OP_UNIQUE_CARRIER	ARR_DELAY	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	LATE_AIRCRAFT_DELAY
11	OO	-20				
12	MQ	5				
5	AS	-11				
4	MQ	74	74	0	0	0
9	G4	11				
3	DL	-17				
2	HA	15	5	0	0	10
7	AA	-1				
10	UA	28	0	0	0	28
11	DL	-29				
2	WN	-16				
9	AA	0				
10	AA	-28				
11	WN	-11				
7	OO	-13				
9	YX	158	0	0	0	158
4	AA	6				
2	WN	1				
12	DL	-27				
6	WN	42	12	0	0	30
4	WN	-11				
7	UA	2				
10	WN	2				
1	WN	34	20	0	0	14
2	OO	-23				
7	WN	-7				
9	AA	-10				
4	UA	-15				
6	UA	-13				
11	MQ	-20				
1	G4	-3				
5	MQ	3				
12	DL	3				
11	WN	-5				
6	WN	96	4	0	80	12
9	WN	-16				
12	9E	-14				
4	MQ	0				
8	WN	16	12	0	4	0
9	OO	-12				
12	WN	-4				
10	UA	39	39	0	0	0
1	WN	-11				
1	AS	-10				
1	AA	119	1	0	30	88
2	YX	-5				
5	AA	-27				
5	MQ	-8				
8	AA	5				
3	OO	29	0	0	0	29
8	YX	-5				
9	UA	-2				
10	OO	28	28	0	0	0
9	AA	5				
7	MQ	3				
6	WN	17	0	0	0	17
4	DL	8				
1	UA	-20				
5	AA	-10				
2	AA	-18				
7	F9	-1				
7	UA	9				
1	B6	34	2	0	32	0
2	YX	3				
8	DL	1				
3	B6	37	5	0	0	32
3	WN	3				
11	AA	-4				
8	UA	-11				
4	WN	24	21	0	0	3
2	UA	-4				
11	AA	-12				
10	DL	39	29	0	10	0
1	9E	-11				
12	OO	23	23	0	0	0
12	F9	82	0	0	82	0
4	UA	-5				
11	UA	-23				
11	DL	-8				
8	WN	-2				
8	UA	103	103	0	0	0
5	AA	-14				
5	AA	-9				
9	UA	-23				
4	UA	-3				
8	F9	6				
9	WN	-6				
3	AA	-16				
12	WN	0				
5	DL	-10				
5	UA	6				
4	AS	-7				
1	YX	0				
11	AA	-23				
12	B6	15	6	0	0	9
6	9E	-9				
4	AS	14				
5	DL	-8				
9	NK	0				
6	UA	35	0	0	35	0
8	WN	58	14	0	0	44
12	OO	41	0	0	41	0
6	WN	-23				
6	WN	53	0	0	0	53
10	HA	21	0	0	0	21
6	DL	-1				
2	AA	-10				
7	NK	-14				
7	OH	56	0	0	56	0
10	OO	56	0	56	0	0
11	UA	-4				
10	OO	10				
2	WN	-14				
10	AS	63	0	0	0	63
10	OO	-13				
2	AS	-29				
11	UA	0				
10	AS	-4				
12	MQ	-7				
12	OH	-19				
9	YX	15	0	0	10	5
5	AA	-15				
1	NK	3				
7	AA	78	31	0	0	47
11	DL	-12				
5	UA	215	0	0	0	215
10	WN	-6				
10	YX	-27				
5	UA	23	0	0	23	0
9	AS	2				
10	DL	107	107	0	0	0
7	UA	24	0	0	24	0
5	AA	-29				
7	HA	-7				
12	WN	-7				
5	OH	0				
6	DL	-2				
11	OO	5				
11	DL	-15				
10	AS	-20				
8	OO	-15				
12	NK	15	10	0	1	4
8	WN	18	0	0	0	18
8	AA	-2				
7	B6	-20				
12	9E	-18				
11	DL	-15				
5	WN	-13				
3	WN	-6				
11	YX	-14				
8	9E	-18				
9	OO	72	0	0	72	0
1	B6	-41				
4	MQ	-19				
5	NK	0				
5	DL	-8				
12	DL	-21				
8	OO	13				
6	UA	26	0	0	26	0
7	AA	20	20	0	0	0
7	UA	-12				
8	HA	-2				
11	B6	9				
7	DL	-13				
5	UA	-8				
3	WN	-11				
4	OO	-27				
5	OO	-21				
5	WN	-1				
12	AS	-23				
8	OO	30	0	0	0	30
9	AA	-5				
10	YX	15	0	0	15	0
5	OO	-14				
2	OO	3				
7	AA	-23				
12	WN	-11				
3	AA	-17				
3	F9	-1				
2	F9	-2				
6	OO	-12				
4	AA	-6				
6	AA	26	0	0	26	0
11	WN	-17				
3	WN	-18				
5	YX	-19				
5	UA	17	9	0	0	8
1	B6	22	14	0	4	4
3	OO	4				
1	AA	18	1	0	0	17
4	WN	23	20	0	3	0
1	DL	-25				
10	OO	144	144	0	0	0
7	MQ	-8				
12	WN	3				
6	AS	-13				
11	DL	-23				
3	WN	-7				
12	YX	-1				
7	DL	-10				
10	DL	-6				
12	WN	-3				
10	OH	32	3	0	29	0
10	WN	40	39	0	1	0
8	NK	9				
6	DL	-17				
10	WN	14				
5	UA	0				
6	NK	9				
8	OO	0				
6	WN	-6				
3	AA	-4				
4	WN	-14				
1	AA	3				
1	UA	-11				
7	UA	16	16	0	0	0
3	AA	6				
7	B6	-2				
2	MQ	-14				
10	OO	15	15	0	0	0
7	WN	17	1	0	0	16
11	F9	12				
8	DL	-26				
4	NK	8				
10	AA	54	54	0	0	0
10	UA	0				
7	AA	494	0	0	0	494
8	AA	-8				
2	OO	-14				
8	DL	21	21	0	0	0
12	WN	-20				
9	WN	5				
1	DL	40	13	0	0	27
3	HA	-22				
10	WN	-10				
10	AA	-7				
6	NK	-17				
11	AS	28	0	0	28	0
12	AA	96	0	0	0	96
3	OO	-23				
4	OO	-8				
3	WN	-16				
9	9E	-13				
10	OH	-10				
6	YX	-16				
6	WN	0				
11	WN	-11				
3	UA	-14				
11	DL	-26				
6	WN	23	23	0	0	0
3	WN	11				
3	OO	8				
